,,,Key Gen. [%],Key Gen. [%],Key Gen. [%],Sign [%],Sign [%],Sign [%],Verify [%],Verify [%],Verify [%]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,63.8,52.9,-17.08,51.4,67.5,31.32,70.8,75.1,6.07
sdp,1,fast,63.8,52.9,-17.08,44.8,60.7,35.49,49.3,63.5,28.8
sdp,1,small,63.8,52.9,-17.08,52.9,67.8,28.17,75.6,77.3,2.25
sdp,3,balance,65.0,55.8,-14.15,43.7,61.3,40.27,65.2,72.5,11.2
sdp,3,fast,65.0,55.8,-14.15,41.2,56.3,36.65,44.4,60.6,36.49
sdp,3,small,0.0,55.8,,0.0,61.4,,0.0,75.3,
sdp,5,balance,0.0,55.9,,0.0,55.2,,0.0,69.3,
sdp,5,fast,66.3,55.9,-15.69,31.9,51.2,60.5,39.2,55.8,42.35
sdp,5,small,0.0,55.9,,0.0,54.8,,0.0,72.6,
sdpg,1,balance,69.0,52.3,-24.2,62.3,74.1,18.94,63.2,72.4,14.56
sdpg,1,fast,69.0,52.3,-24.2,54.2,66.7,23.06,51.9,65.0,25.24
sdpg,1,small,69.0,52.3,-24.2,62.3,74.1,18.94,64.2,72.9,13.55
sdpg,3,balance,68.5,58.9,-14.01,53.6,68.8,28.36,54.1,68.9,27.36
sdpg,3,fast,68.5,58.9,-14.01,48.1,62.9,30.77,46.1,62.9,36.44
sdpg,3,small,68.5,58.9,-14.01,52.5,69.0,31.43,57.7,71.0,23.05
sdpg,5,balance,67.6,58.1,-14.05,45.5,64.3,41.32,46.1,63.4,37.53
sdpg,5,fast,67.6,58.1,-14.05,42.4,59.2,39.62,39.8,58.9,47.99
sdpg,5,small,0.0,58.1,,0.0,64.4,,0.0,65.0,
