,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1528,-81.16,210016,86000,-59.05,113184,36216,-68.0
sdp,1,fast,8112,1528,-81.16,116224,54480,-53.12,56720,14784,-73.94
sdp,1,small,8112,1528,-81.16,421392,168072,-60.12,223832,67048,-70.05
sdp,3,balance,16832,1736,-89.69,463484,186268,-59.81,248804,77960,-68.67
sdp,3,fast,16832,1736,-89.69,257976,118840,-53.93,124648,29984,-75.95
sdp,3,small,0,1736,,0,275328,,0,111792,
sdp,5,balance,0,1984,,0,329456,,0,135960,
sdp,5,fast,29624,1984,-93.3,463008,211696,-54.28,222424,51512,-76.84
sdp,5,small,0,1984,,0,523756,,0,209248,
sdpg,1,balance,3984,1624,-59.24,156712,67952,-56.64,94372,34532,-63.41
sdpg,1,fast,3984,1624,-59.24,77768,40280,-48.2,42168,12368,-70.67
sdpg,1,small,3984,1624,-59.24,309608,131408,-57.56,184632,64400,-65.12
sdpg,3,balance,7440,1792,-75.91,240896,103584,-57.0,145156,53912,-62.86
sdpg,3,fast,7440,1792,-75.91,170424,86512,-49.24,91312,24760,-72.88
sdpg,3,small,7440,1792,-75.91,453168,191080,-57.83,270912,96148,-64.51
sdpg,5,balance,11776,2024,-82.81,423232,179192,-57.66,255760,92984,-63.64
sdpg,5,fast,11776,2024,-82.81,300704,151032,-49.77,159872,41816,-73.84
sdpg,5,small,0,2024,,0,314196,,0,158704,
