,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [bytes],Sign [bytes],Verify [bytes]
0,cross,2.0,sdp,1,balance,light,1528,86000,36216
1,cross,2.0,sdp,1,balance,ref,8112,210016,113184
2,cross,2.0,sdp,1,fast,light,1528,54480,14784
3,cross,2.0,sdp,1,fast,ref,8112,116224,56720
4,cross,2.0,sdp,1,small,light,1528,168072,67048
5,cross,2.0,sdp,1,small,ref,8112,421392,223832
6,cross,2.0,sdp,3,balance,light,1736,186268,77960
7,cross,2.0,sdp,3,balance,ref,16832,463484,248804
8,cross,2.0,sdp,3,fast,light,1736,118840,29984
9,cross,2.0,sdp,3,fast,ref,16832,257976,124648
10,cross,2.0,sdp,3,small,light,1736,275328,111792
11,cross,2.0,sdp,3,small,ref,0,0,0
12,cross,2.0,sdp,5,balance,light,1984,329456,135960
13,cross,2.0,sdp,5,balance,ref,0,0,0
14,cross,2.0,sdp,5,fast,light,1984,211696,51512
15,cross,2.0,sdp,5,fast,ref,29624,463008,222424
16,cross,2.0,sdp,5,small,light,1984,523756,209248
17,cross,2.0,sdp,5,small,ref,0,0,0
18,cross,2.0,sdpg,1,balance,light,1624,67952,34532
19,cross,2.0,sdpg,1,balance,ref,3984,156712,94372
20,cross,2.0,sdpg,1,fast,light,1624,40280,12368
21,cross,2.0,sdpg,1,fast,ref,3984,77768,42168
22,cross,2.0,sdpg,1,small,light,1624,131408,64400
23,cross,2.0,sdpg,1,small,ref,3984,309608,184632
24,cross,2.0,sdpg,3,balance,light,1792,103584,53912
25,cross,2.0,sdpg,3,balance,ref,7440,240896,145156
26,cross,2.0,sdpg,3,fast,light,1792,86512,24760
27,cross,2.0,sdpg,3,fast,ref,7440,170424,91312
28,cross,2.0,sdpg,3,small,light,1792,191080,96148
29,cross,2.0,sdpg,3,small,ref,7440,453168,270912
30,cross,2.0,sdpg,5,balance,light,2024,179192,92984
31,cross,2.0,sdpg,5,balance,ref,11776,423232,255760
32,cross,2.0,sdpg,5,fast,light,2024,151032,41816
33,cross,2.0,sdpg,5,fast,ref,11776,300704,159872
34,cross,2.0,sdpg,5,small,light,2024,314196,158704
35,cross,2.0,sdpg,5,small,ref,0,0,0
