,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Sign [cycles] (mean),Sign [cycles] (min),Sign [cycles] (max),Verify [cycles] (mean),Verify [cycles] (min),Verify [cycles] (max)
0,cross,2.0,sdp,1,balance,light,531380,527133,537815,34110059,34037612,34195888,17563607,17560870,17567999
1,cross,2.0,sdp,1,balance,ref,400650,396532,406791,38983760,38979723,38989653,18645618,18642794,18650307
2,cross,2.0,sdp,1,fast,light,531280,527154,537195,16964191,16961994,16974706,9137947,9136957,9138900
3,cross,2.0,sdp,1,fast,ref,400623,396550,406579,21223821,21221361,21234472,11765938,11764892,11767036
4,cross,2.0,sdp,1,small,light,531282,527261,537319,68334296,68239693,68429439,35733020,35730766,35737680
5,cross,2.0,sdp,1,small,ref,400624,396633,406695,76714985,76711403,76722179,36498125,36495770,36502858
6,cross,2.0,sdp,3,balance,light,1224522,1220126,1230609,75626777,75559073,75701449,37577437,37574113,37581300
7,cross,2.0,sdp,3,balance,ref,964690,960476,970769,92882489,92873458,92887343,41773953,41771514,41776979
8,cross,2.0,sdp,3,fast,light,1224663,1220539,1230778,41672106,41663481,41678676,22836897,22834973,22839681
9,cross,2.0,sdp,3,fast,ref,964827,960654,970897,53998773,53989225,54005618,31197929,31196032,31201128
10,cross,2.0,sdp,3,small,light,1224853,1220599,1230658,113380686,113264611,113471271,55345836,55341307,55352343
11,cross,2.0,sdp,3,small,ref,0,0,0,0,0,0,0,0,0
12,cross,2.0,sdp,5,balance,light,2178615,2174031,2185490,129529894,129470497,129602603,64151091,64146043,64159760
13,cross,2.0,sdp,5,balance,ref,0,0,0,0,0,0,0,0,0
14,cross,2.0,sdp,5,fast,light,2178265,2173776,2185303,74246041,74237259,74249693,41267440,41264761,41270046
15,cross,2.0,sdp,5,fast,ref,1672453,1668119,1678926,108905274,108896516,108909410,58705457,58702956,58707799
16,cross,2.0,sdp,5,small,light,2178227,2173780,2184791,199815074,199773880,199897652,101538126,101532114,101545351
17,cross,2.0,sdp,5,small,ref,0,0,0,0,0,0,0,0,0
18,cross,2.0,sdpg,1,balance,light,239924,235836,246033,25986049,25916550,26063440,13905051,13903731,13906054
19,cross,2.0,sdpg,1,balance,ref,196606,192527,202690,26038909,26036786,26046743,15931848,15930620,15932837
20,cross,2.0,sdpg,1,fast,light,239964,235877,245983,11255620,11253862,11263715,6221179,6220299,6221869
21,cross,2.0,sdpg,1,fast,ref,196637,192575,202634,12417564,12415757,12425669,7771265,7770156,7772156
22,cross,2.0,sdpg,1,small,light,239916,235848,245873,51500127,51404678,51589896,28071349,28068463,28074692
23,cross,2.0,sdpg,1,small,ref,196599,192535,202558,51829202,51825507,51836856,31857698,31854714,31860995
24,cross,2.0,sdpg,3,balance,light,528858,524314,535185,36178331,36091519,36258286,20032794,20031895,20034655
25,cross,2.0,sdpg,3,balance,ref,417450,413341,423505,40329889,40324238,40335430,25539448,25537734,25541452
26,cross,2.0,sdpg,3,fast,light,528929,524284,534822,24736574,24731177,24742520,14322722,14321267,14324236
27,cross,2.0,sdpg,3,fast,ref,417483,413297,423516,29895050,29889525,29901004,19491367,19489329,19493225
28,cross,2.0,sdpg,3,small,light,528956,524228,535202,68234078,68150239,68346972,39371417,39369543,39373582
29,cross,2.0,sdpg,3,small,ref,417467,413243,423497,75749453,75743666,75755489,48560848,48558374,48563916
30,cross,2.0,sdpg,5,balance,light,887442,883285,893932,60383910,60278034,60462463,33215306,33213055,33218976
31,cross,2.0,sdpg,5,balance,ref,710456,706326,716647,73740764,73733137,73743680,45889229,45887129,45892841
32,cross,2.0,sdpg,5,fast,light,887472,883209,893746,44074656,44065528,44078974,25732148,25730693,25734026
33,cross,2.0,sdpg,5,fast,ref,710453,706265,716500,57668256,57659148,57672522,38193418,38191957,38195191
34,cross,2.0,sdpg,5,small,light,887491,883299,894028,107750259,107641414,107822504,59770062,59767225,59772549
35,cross,2.0,sdpg,5,small,ref,0,0,0,0,0,0,0,0,0
