,,,Key Gen. [kcycles] (mean),Key Gen. [kcycles] (mean),Key Gen. [kcycles] (mean),Sign [kcycles] (mean),Sign [kcycles] (mean),Sign [kcycles] (mean),Verify [kcycles] (mean),Verify [kcycles] (mean),Verify [kcycles] (mean)
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,400650,531380,32.63,38983760,34110059,-12.5,18645618,17563607,-5.8
sdp,1,fast,400623,531280,32.61,21223821,16964191,-20.07,11765938,9137947,-22.34
sdp,1,small,400624,531282,32.61,76714985,68334296,-10.92,36498125,35733020,-2.1
sdp,3,balance,964690,1224522,26.93,92882489,75626777,-18.58,41773953,37577437,-10.05
sdp,3,fast,964827,1224663,26.93,53998773,41672106,-22.83,31197929,22836897,-26.8
sdp,3,small,0,1224853,,0,113380686,,0,55345836,
sdp,5,balance,0,2178615,,0,129529894,,0,64151091,
sdp,5,fast,1672453,2178265,30.24,108905274,74246041,-31.83,58705457,41267440,-29.7
sdp,5,small,0,2178227,,0,199815074,,0,101538126,
sdpg,1,balance,196606,239924,22.03,26038909,25986049,-0.2,15931848,13905051,-12.72
sdpg,1,fast,196637,239964,22.03,12417564,11255620,-9.36,7771265,6221179,-19.95
sdpg,1,small,196599,239916,22.03,51829202,51500127,-0.63,31857698,28071349,-11.89
sdpg,3,balance,417450,528858,26.69,40329889,36178331,-10.29,25539448,20032794,-21.56
sdpg,3,fast,417483,528929,26.69,29895050,24736574,-17.26,19491367,14322722,-26.52
sdpg,3,small,417467,528956,26.71,75749453,68234078,-9.92,48560848,39371417,-18.92
sdpg,5,balance,710456,887442,24.91,73740764,60383910,-18.11,45889229,33215306,-27.62
sdpg,5,fast,710453,887472,24.92,57668256,44074656,-23.57,38193418,25732148,-32.63
sdpg,5,small,0,887491,,0,107750259,,0,59770062,
