,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1296,-84.02,210016,93000,-55.72,113184,36316,-67.91
sdp,1,fast,8112,1296,-84.02,116224,54472,-53.13,56720,14776,-73.95
sdp,1,small,8112,1296,-84.02,421392,182952,-56.58,223832,67016,-70.06
sdp,3,balance,16832,1400,-91.68,463484,203048,-56.19,248804,77936,-68.68
sdp,3,fast,16832,1400,-91.68,257976,118824,-53.94,124648,29984,-75.95
sdp,3,small,0,1400,,0,301224,,0,111800,
sdp,5,balance,0,1544,,0,360120,,0,135952,
sdp,5,fast,29624,1544,-94.79,463008,211696,-54.28,222424,51512,-76.84
sdp,5,small,0,1544,,0,574308,,0,209224,
sdpg,1,balance,3984,1400,-64.86,156712,75216,-52.0,94372,34648,-63.29
sdpg,1,fast,3984,1400,-64.86,77768,40344,-48.12,42168,12760,-69.74
sdpg,1,small,3984,1400,-64.86,309608,145952,-52.86,184632,64500,-65.07
sdpg,3,balance,7440,1480,-80.11,240896,116120,-51.8,145092,54888,-62.17
sdpg,3,fast,7440,1480,-80.11,170424,87488,-48.66,91312,25904,-71.63
sdpg,3,small,7440,1480,-80.11,453168,214248,-52.72,270912,96576,-64.35
sdpg,5,balance,11776,1624,-86.21,423232,200344,-52.66,255760,92984,-63.64
sdpg,5,fast,11776,1624,-86.21,300704,151132,-49.74,159872,41824,-73.84
sdpg,5,small,0,1624,,0,353056,,0,158704,
