,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1296,-84.02,210016,108936,-48.13,113184,44408,-60.76
sdp,1,fast,8112,1296,-84.02,116224,54472,-53.13,56720,14776,-73.95
sdp,1,small,8112,1296,-84.02,421392,215216,-48.93,223832,83528,-62.68
sdp,3,balance,16832,1400,-91.68,463484,239248,-48.38,248804,96184,-61.34
sdp,3,fast,16832,1400,-91.68,257976,118824,-53.94,124648,29984,-75.95
sdp,3,small,0,1400,,0,355816,,0,139336,
sdp,5,balance,0,1544,,0,424760,,0,168692,
sdp,5,fast,29624,1544,-94.79,463008,211696,-54.28,222424,51512,-76.84
sdp,5,small,0,0,,0,0,,0,0,
sdpg,1,balance,3984,1400,-64.86,156712,91200,-41.8,94372,42640,-54.82
sdpg,1,fast,3984,1400,-64.86,77768,40344,-48.12,42168,12760,-69.74
sdpg,1,small,3984,1400,-64.86,309608,177840,-42.56,184632,80784,-56.25
sdpg,3,balance,7440,1480,-80.11,240896,141504,-41.26,145156,66656,-54.08
sdpg,3,fast,7440,1480,-80.11,170424,87488,-48.66,91312,25904,-71.63
sdpg,3,small,7440,1480,-80.11,453168,262568,-42.06,270912,120536,-55.51
sdpg,5,balance,11776,1624,-86.21,423232,245456,-42.0,255760,115536,-54.83
sdpg,5,fast,11776,1624,-86.21,300704,151132,-49.74,159872,41824,-73.84
sdpg,5,small,0,1624,,0,434200,,0,199368,
