,,,Key Gen. [kbytes],Key Gen. [kbytes],Key Gen. [kbytes],Sign [kbytes],Sign [kbytes],Sign [kbytes],Verify [kbytes],Verify [kbytes],Verify [kbytes]
impl.,,,ref,light,diff [%],ref,light,diff [%],ref,light,diff [%]
prob.,lvl,var.,,,,,,,,,
sdp,1,balance,8112,1296,-84.02,210016,141432,-32.66,113184,44516,-60.67
sdp,1,fast,8112,1296,-84.02,116224,74408,-35.98,56720,14776,-73.95
sdp,1,small,8112,1296,-84.02,421392,281248,-33.26,223832,83528,-62.68
sdp,3,balance,16832,1400,-91.68,463484,311048,-32.89,248804,96292,-61.3
sdp,3,fast,16832,1400,-91.68,257976,163512,-36.62,124648,29984,-75.95
sdp,3,small,0,1400,,0,464272,,0,139404,
sdp,5,balance,0,1544,,0,553272,,0,168584,
sdp,5,fast,29624,1544,-94.79,463008,292264,-36.88,222424,51512,-76.84
sdp,5,small,0,0,,0,0,,0,0,
sdpg,1,balance,3984,1400,-64.86,156712,105328,-32.79,94372,42640,-54.82
sdpg,1,fast,3984,1400,-64.86,77768,48480,-37.66,42168,12760,-69.74
sdpg,1,small,3984,1400,-64.86,309608,206048,-33.45,184632,80784,-56.25
sdpg,3,balance,7440,1480,-80.11,240896,162752,-32.44,145156,66656,-54.08
sdpg,3,fast,7440,1480,-80.11,170424,105272,-38.23,91312,25904,-71.63
sdpg,3,small,7440,1480,-80.11,453168,303096,-33.12,270912,120536,-55.51
sdpg,5,balance,11776,1624,-86.21,423232,283296,-33.06,255760,115536,-54.83
sdpg,5,fast,11776,1624,-86.21,300704,182928,-39.17,159872,41824,-73.84
sdpg,5,small,0,1624,,0,502360,,0,199368,
